;;Size;Success;Count;Time;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;19;True;85954;92,08609605;;;;;;;;;;
LESS CONSTRAINED;MEDIUM;20;True;167159;214,6524324;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;4;True;10;0,002997875;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;5;True;6;0,002996445;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;6;True;56;0,01598978;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;7;True;22;0,009994984;;;;13,08815638;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;8;True;159;0,077951908;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;9;True;58;0,039973974;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;10;True;332;0,235854864;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;11;True;954;0,650600195;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;12;True;383;0,330798149;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;13;True;1598;1,530052423;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;14;True;2466;3,386914015;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;15;True;29973;30,11281967;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;16;True;19824;17,46121454;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;17;True;111040;95,98269081;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;18;True;213033;223,3928692;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;19;True;231596;260,6673322;;;;;;;;;;
LESS CONSTRAINED;MOST CONSTRAINED;20;True;134934;151,3883319;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;4;True;10;0,001998901;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;5;True;6;0,000999928;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;6;True;56;0,007994652;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;7;True;22;0,005996227;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;8;True;160;0,032979965;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;9;True;60;0,016989231;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;10;True;334;0,099939823;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;11;True;933;0,318799973;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;12;True;385;0,159904957;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;13;True;1752;0,818493843;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;14;True;2510;1,306195974;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;15;True;29300;17,05747962;;10,91257106;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;16;True;19871;13,09592557;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;17;True;118859;87,56300521;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;18;True;212197;178,1171725;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;19;True;231520;219,3027706;;;;;;;;;;
LESS CONSTRAINED;LESS CONSTRAINED;20;True;134880;136,8476167;;;;;;;;;;
