Kolumna1;Kolumna2;Size;Success;Count;Time
LESS CONSTRAINED;NORMAL;4;True;10;0,000999928
LESS CONSTRAINED;NORMAL;5;True;6;0,000999212
LESS CONSTRAINED;NORMAL;6;True;56;0,007994652
LESS CONSTRAINED;NORMAL;7;True;22;0,004997015
LESS CONSTRAINED;NORMAL;8;True;160;0,030980349
LESS CONSTRAINED;NORMAL;9;True;60;0,01598978
LESS CONSTRAINED;NORMAL;10;True;334;0,09294343
LESS CONSTRAINED;NORMAL;11;True;933;0,308810472
LESS CONSTRAINED;NORMAL;12;True;385;0,148908377
LESS CONSTRAINED;NORMAL;13;True;1752;0,738544464
LESS CONSTRAINED;NORMAL;14;True;2510;1,219247341
LESS CONSTRAINED;NORMAL;15;True;29300;15,97315001
LESS CONSTRAINED;NORMAL;16;True;19871;12,07655501
LESS CONSTRAINED;NORMAL;17;True;118859;81,07400775
LESS CONSTRAINED;NORMAL;18;True;212197;163,5171709
LESS CONSTRAINED;NORMAL;19;True;231520;195,9511733
LESS CONSTRAINED;NORMAL;20;True;134880;127,0956321
LESS CONSTRAINED;MEDIUM;4;True;4;0,000996351
LESS CONSTRAINED;MEDIUM;5;True;5;0,000999212
LESS CONSTRAINED;MEDIUM;6;True;26;0,003997326
LESS CONSTRAINED;MEDIUM;7;True;15;0,003997803
LESS CONSTRAINED;MEDIUM;8;True;40;0,008993864
LESS CONSTRAINED;MEDIUM;9;True;114;0,028982401
LESS CONSTRAINED;MEDIUM;10;True;77;0,030981302
LESS CONSTRAINED;MEDIUM;11;True;506;0,173894405
LESS CONSTRAINED;MEDIUM;12;True;358;0,131917715
LESS CONSTRAINED;MEDIUM;13;True;103;0,050967455
LESS CONSTRAINED;MEDIUM;14;True;426;0,208871126
LESS CONSTRAINED;MEDIUM;15;True;4684;2,444493532
LESS CONSTRAINED;MEDIUM;16;True;1877;1,179272175
LESS CONSTRAINED;MEDIUM;17;True;1441;0,974402189
LESS CONSTRAINED;MEDIUM;18;True;23522;17,58815169
LESS CONSTRAINED;MEDIUM;19;True;85954;70,48753905
LESS CONSTRAINED;MEDIUM;20;True;167159;145,9749866
LESS CONSTRAINED;MOST CONSTRAINED;4;True;10;0,000999689
LESS CONSTRAINED;MOST CONSTRAINED;5;True;6;0,000998497
LESS CONSTRAINED;MOST CONSTRAINED;6;True;56;0,008994579
LESS CONSTRAINED;MOST CONSTRAINED;7;True;22;0,0049963
LESS CONSTRAINED;MOST CONSTRAINED;8;True;159;0,032980204
LESS CONSTRAINED;MOST CONSTRAINED;9;True;58;0,015990257
LESS CONSTRAINED;MOST CONSTRAINED;10;True;333;0,098938704
LESS CONSTRAINED;MOST CONSTRAINED;11;True;935;0,32080245
LESS CONSTRAINED;MOST CONSTRAINED;12;True;375;0,172892809
LESS CONSTRAINED;MOST CONSTRAINED;13;True;1584;0,720555782
LESS CONSTRAINED;MOST CONSTRAINED;14;True;2502;1,299198627
LESS CONSTRAINED;MOST CONSTRAINED;15;True;29903;17,68909311
LESS CONSTRAINED;MOST CONSTRAINED;16;True;19836;13,16987967
LESS CONSTRAINED;MOST CONSTRAINED;17;True;115037;86,77749372
LESS CONSTRAINED;MOST CONSTRAINED;18;True;213051;189,0714116
LESS CONSTRAINED;MOST CONSTRAINED;19;True;228788;234,6093748
LESS CONSTRAINED;MOST CONSTRAINED;20;True;119845;147,2371976
LESS CONSTRAINED;LESS CONSTRAINED;4;True;8;0,001999617
LESS CONSTRAINED;LESS CONSTRAINED;5;True;6;0,002009869
LESS CONSTRAINED;LESS CONSTRAINED;6;True;49;0,013978481
LESS CONSTRAINED;LESS CONSTRAINED;7;True;23;0,008995295
LESS CONSTRAINED;LESS CONSTRAINED;8;True;142;0,075954199
LESS CONSTRAINED;LESS CONSTRAINED;9;True;60;0,027982235
LESS CONSTRAINED;LESS CONSTRAINED;10;True;285;0,164902449
LESS CONSTRAINED;LESS CONSTRAINED;11;True;901;0,576641083
LESS CONSTRAINED;LESS CONSTRAINED;12;True;312;0,269831896
LESS CONSTRAINED;LESS CONSTRAINED;13;True;2078;1,964790583
LESS CONSTRAINED;LESS CONSTRAINED;14;True;2215;2,227626324
LESS CONSTRAINED;LESS CONSTRAINED;15;True;27628;20,28458834
LESS CONSTRAINED;LESS CONSTRAINED;16;True;18894;16,54532719
LESS CONSTRAINED;LESS CONSTRAINED;17;True;131761;135,4979246
LESS CONSTRAINED;LESS CONSTRAINED;18;True;205058;250,9072337
LESS CONSTRAINED;LESS CONSTRAINED;19;True;209309;290,5292251
LESS CONSTRAINED;LESS CONSTRAINED;20;True;118603;171,4689035
